comparison,n,statistic,p,first_median,second_median,q
Overall phase comparison,24,46.950000000000045,3.5617722064112704e-10,,,
Grasp versus reach,24,3.0,5.960464477539062e-07,0.4401696572057159,0.32303933146333524,8.940696716308594e-07
Grasp versus transfer,24,142.0,0.8333734273910522,0.4401696572057159,0.41985502090013016,0.8333734273910522
Transfer versus place,24,1.0,2.384185791015625e-07,0.41985502090013016,0.3219298033714898,7.152557373046875e-07
