outcome,label,n,beta_log10_procedures,ci_low,ci_high,procedure_p,r2_procedure_only,r2_cohort_only,r2_full,cohort_delta_r2_after_procedure,procedure_q
total_time,Analysed duration,107,-0.42733493177412707,-0.7210666407293955,-0.1867809146394167,0.0001999600079984003,0.1329750713357727,0.018294307226203954,0.1488697330305392,0.0158946616947665,0.0015996800639872025
bimanual_correlation,Bimanual correlation,107,0.29244008987169356,0.09152485904450995,0.5145501031277906,0.007398520295940812,0.05784230200288021,0.11128877039829821,0.17243905438252594,0.11459675237964573,0.02959408118376325
tool1_avg_speed,Tool 1 speed,107,0.010798900046193131,-0.06338028617402766,0.0772080729996927,0.8016396720655868,0.009102444209678429,0.8753372340442597,0.8754206182322058,0.8663181740225274,0.8016396720655868
tool2_avg_speed,Tool 2 speed,107,0.06356029050664681,-0.0023985628506424193,0.133968472852232,0.04799040191961608,0.00308542926382005,0.9249964885062787,0.9278851483746007,0.9247997191107806,0.07678464307138573
combined_idle_ratio,Combined idle ratio,107,-0.07971270303197589,-0.20172280757710917,0.026271543507389142,0.17556488702259548,0.0006216419971403209,0.7603364482992011,0.7648798353216057,0.7642581933244654,0.2340865160301273
tool1_range_z,Tool 1 depth range,107,-0.042217666962035216,-0.2449249058902264,0.15589781666696684,0.6914617076584683,0.011659559009017606,0.17780657175161974,0.17908099334106864,0.16742143433205103,0.790241951609678
tool2_range_z,Tool 2 depth range,107,0.23582273751353064,0.05054699263230346,0.42192360858637795,0.02979404119176165,0.014836525031217462,0.13513978127316173,0.17490432594371252,0.16006780091249506,0.0595880823835233
Coordination-control composite,Coordination and control score,107,0.28042398109730016,0.06831070397570142,0.5080588734377782,0.012397520495900819,0.05433644447282082,0.0015170135435146337,0.0577453146695327,0.0034088701967118773,0.03306005465573552
