dataset,skill_category,n_cycles,n_trials,mean_duration_s,ci_low,ci_high
6DOF2023,expert,23,2,10.618444055944057,8.586538461538462,12.650349650349652
6DOF2023,intermediate,44,4,12.394070512820512,10.692307692307693,13.353685897435897
6DOF2023,novice,48,4,12.45673076923077,10.665064102564102,14.248397435897436
7DOF2024,expert,58,5,12.94025641025641,11.612564102564104,15.010256410256408
7DOF2024,intermediate,36,3,15.34188034188034,9.512820512820513,19.01923076923077
7DOF2024,novice,84,7,13.602564102564102,9.774725274725274,18.555860805860807
BAPES2024,expert,60,6,15.152777777777779,12.998824786324786,17.550213675213676
BAPES2024,intermediate,24,2,11.067307692307693,10.833333333333334,11.301282051282051
BAPES2024,novice,6,1,15.294871794871796,15.294871794871796,15.294871794871796
