processing,position_window_s,orientation_window_s,n,score_spearman_rho,median_absolute_score_change,fixed_cut_assignment_ari,refit_assignment_ari
No position smoothing,0.0,0.0,107,0.9833552945234894,0.054545454545454675,0.7461892039309828,0.3175844249017427
Primary processing,0.4,0.0,107,1.0,0.0,1.0,1.0
0.8 s position window,0.8,0.0,107,0.9836590342619369,0.054545454545454675,0.85387290419947,0.8053423741454286
0.4 s orientation sensitivity,0.4,0.4,107,0.9880088170937018,0.042424242424242475,0.8286069303742338,0.42755379100614965
