feature,label,cliffs_delta_novice_expert,delta_ci_low,delta_ci_high,kruskal_h,kruskal_p,spearman_rho_procedures,spearman_p,spearman_ci_low,spearman_ci_high,spearman_meta_i2,n_cohorts,n_nonmissing,kruskal_q,spearman_q
bimanual_correlation,Bimanual correlation,-0.44337811900191937,-0.6813819577735125,-0.1746641074856046,11.583733754844957,0.07192611507002791,0.26519610813065986,0.007154035304095336,0.07356633757928907,0.43794014383705293,59.69385918068588,3,107,0.3170324957516792,0.025933377977345594
tool2_avg_speed,Tool 2 speed,-0.43953934740882916,-0.6852207293666027,-0.16314779270633398,9.446343678317177,0.14998807706400527,0.26545918253608347,0.007094210430320777,0.07384779717900485,0.4381688360883283,0.0,3,107,0.3170324957516792,0.025933377977345594
tool1_avg_speed,Tool 1 speed,-0.3666026871401152,-0.6314779270633397,-0.08253358925143954,10.070936294222903,0.12169634914428706,0.20642377607265003,0.0381460925868868,0.011442656610917675,0.3862823505464995,0.0,3,107,0.3170324957516792,0.11062366850197172
tool2_range_z,Tool 2 depth range,-0.362763915547025,-0.6353166986564299,-0.05566218809980806,8.038309445980472,0.23531007622449016,0.23875854482084943,0.015948005812675872,0.04543599067993563,0.4148432170028269,0.0,3,107,0.45493281403401425,0.051388018729733365
tool2_working_volume,Tool 2 working volume,-0.2629558541266795,-0.5470249520153551,0.02111324376199616,11.752049475787643,0.06773444765157813,0.19246671234055343,0.05368284045721828,-0.0030923734558430975,0.3738467701508323,0.0,3,107,0.3170324957516792,0.12973353110494418
tool2_active_time_ratio,Tool 2 active time,-0.236084452975048,-0.5124760076775432,0.0710172744721689,3.852667833233512,0.6966064736925249,0.17384877612433292,0.08209198970146667,-0.022353502034510433,0.3571562667897536,0.0,3,107,0.8417328223784676,0.18312828471865641
tool1_range_z,Tool 1 depth range,-0.2053742802303263,-0.4779270633397313,0.0671785028790787,11.39277866522508,0.07696966614726616,0.0024388652860445384,0.9807380796990711,-0.19309593792515908,0.19778735062844746,78.79217874757137,3,107,0.3170324957516792,0.9807380796990711
tool2_working_area_xy,Tool 2 working area,-0.16314779270633398,-0.4473128598848368,0.1324376199616123,12.920231023058719,0.044320318949920945,0.15332898025471015,0.1260303123915256,-0.04341479499768882,0.3386241785150563,54.01057825144936,3,107,0.3170324957516792,0.24365860395694947
simultaneous_motion_ratio,Simultaneous motion,-0.15547024952015356,-0.43570057581573896,0.1325335892514399,2.352682271610704,0.8845768427286301,0.14830662457394425,0.13912187580250768,-0.04854318415091862,0.33406632214142973,0.0,3,107,0.9866434015050106,0.25215839989204514
tool1_angular_velocity_cv,Tool 1 angular velocity variability,-0.11708253358925144,-0.4165067178502879,0.1746641074856046,5.405935780460767,0.4928977444594195,-0.007374101334269107,0.941805160971722,-0.20252498172427333,0.1883400995702248,49.41660025033508,3,107,0.6806683137772935,0.9754410595778549
tool1_working_volume,Tool 1 working volume,-0.09788867562380038,-0.381957773512476,0.21689059500959693,9.442730244602913,0.15016726399115785,-0.05283186103628268,0.6006290186190759,-0.24573723779662934,0.1440988087013587,70.2484119675861,3,107,0.3170324957516792,0.6451200570353037
bimanual_symmetry,Bimanual symmetry,-0.09404990403071017,-0.38589251439539346,0.2092130518234165,1.4775509440425625,0.9609718010133059,0.07096090270086099,0.4816446805886372,-0.12623255305805667,0.2627595073773897,0.0,3,107,0.9877753958666414,0.6072911190030643
tool_distance_cv,Tool distance variability,-0.07869481765834933,-0.381957773512476,0.22082533589251474,0.9402734096993726,0.9877753958666414,0.0967073250888628,0.33687656619412654,-0.10063756236961648,0.2867306638025451,0.0,3,107,0.9877753958666414,0.48526714094510986
tool1_active_time_ratio,Tool 1 active time,-0.07869481765834933,-0.381957773512476,0.22840690978886757,1.8615186143753135,0.9319837998880092,0.0619234676460434,0.5393498793878274,-0.1351550073394433,0.25428870263461834,0.0,3,107,0.9877753958666414,0.6288042457022069
tool1_rotation_per_path,Tool 1 rotation per path,-0.04798464491362764,-0.3550863723608445,0.2476007677543186,6.11896892398272,0.4099960344698175,0.0615094119510837,0.5420726256053509,-0.1355630308075032,0.25389989907560206,69.18693626791988,3,107,0.6605491666458172,0.6288042457022069
tool2_rotation_per_path,Tool 2 rotation per path,-0.04030710172744722,-0.33589251439539347,0.2591170825335892,4.939842744995474,0.5515516316447138,0.0897623157386279,0.37292929730177227,-0.10756754659238395,0.2802878771885398,26.67760421067217,3,107,0.7270453326225772,0.491588619170518
tool1_working_area_xy,Tool 1 working area,0.036468330134357005,-0.2514395393474088,0.3435700575815739,5.820839351524582,0.44355627473497816,-0.0938566809851888,0.35140034344301063,-0.2840882397713419,0.10348435799322389,27.571098955890267,3,107,0.6770069456481246,0.48526714094510986
bimanual_lag_s,Bimanual lag,0.12284069097888675,-0.0671785028790787,0.30906909788867576,3.4167085736608502,0.49065545885155004,-0.12756724230420405,0.26036445587208346,-0.33781924920756906,0.0948110353497303,0.0,2,107,0.6806683137772935,0.39739838001528527
bimanual_concurrent_efficiency,Concurrent efficiency,0.1324376199616123,-0.16698656429942418,0.42034548944337813,6.255847554442752,0.3951487351725862,0.05434034789577619,0.5902509335709227,-0.14261706874968966,0.24715818464282197,0.0,3,107,0.6605491666458172,0.6451200570353037
combined_idle_ratio,Combined idle ratio,0.15930902111324377,-0.1362763915547025,0.43570057581573896,2.582682735526149,0.8591018094151637,-0.12851294408927272,0.20079592076353536,-0.3160182986269308,0.0686542006839411,0.0,3,107,0.9866434015050106,0.3235045390079181
tool2_path_length,Tool 2 path length,0.16698656429942418,-0.12859884836852206,0.45873320537428025,4.3259270970116,0.6326606280766702,-0.1626993657295065,0.10414478195750654,-0.34710474781701767,0.033818780204501575,0.0,3,107,0.7977025310531929,0.21572847691197783
bimanual_dist_speed_corr,Distance-speed coupling,0.21305182341650672,-0.09788867562380038,0.4971209213051823,6.457136135650996,0.37397349378076755,-0.13287305287754708,0.18576878872865032,-0.32000556622565396,0.06423790866459668,19.20870804646566,3,107,0.6605491666458172,0.3168996984194623
tool1_path_length,Tool 1 path length,0.2783109404990403,-0.028790786948176585,0.5547024952015355,9.38510505560636,0.15305017036287963,-0.27769187125220074,0.00475570678189519,-0.44877815668567483,-0.08696917530738506,0.0,3,107,0.3170324957516792,0.022985916112493423
tool2_angular_velocity_cv,Tool 2 angular velocity variability,0.30902111324376197,0.028790786948176585,0.5585412667946257,10.774072184447647,0.0956150561686818,-0.1949345551877209,0.050610254353440826,-0.3760503454483363,0.0005283360255154149,0.0,3,107,0.3170324957516792,0.12973353110494418
tool2_normalized_jerk,Tool 2 normalised jerk,0.4126679462571977,0.1362763915547025,0.6660268714011516,10.234331232795597,0.11512439345342916,-0.30095850521529366,0.0021084284496400976,-0.4688249105810884,-0.11211007560374386,0.0,3,107,0.3170324957516792,0.02038147501318761
tool2_num_speed_peaks,Tool 2 speed peaks,0.4165067178502879,0.1457773512476008,0.6776391554702499,9.957316556589404,0.1264610585640119,-0.28802921047107855,0.0033422853252693006,-0.4577062141617639,-0.0981093391515713,0.0,3,107,0.3170324957516792,0.022985916112493423
tool1_num_speed_peaks,Tool 1 speed peaks,0.418426103646833,0.12471209213051825,0.6890595009596929,9.917667997223782,0.1281622922367285,-0.282473804927565,0.0040466778158233735,-0.452912422522839,-0.09211656414791568,0.0,3,107,0.3170324957516792,0.022985916112493423
total_time,Analysed duration,0.4472168905950096,0.1785028790786948,0.6929942418426107,11.451832434664146,0.07537628840171491,-0.32716976238946716,0.0007726322842619239,-0.49120351688973213,-0.14072539886146385,0.0,3,107,0.3170324957516792,0.011203168121797896
tool1_normalized_jerk,Tool 1 normalised jerk,0.45489443378119004,0.1708253358925144,0.708253358925144,12.231543642480347,0.05699825695363934,-0.33800207579813035,0.0004958456978932772,-0.500389104235357,-0.15264291333999488,0.0,3,107,0.3170324957516792,0.011203168121797896
