window_frames,window_seconds,feature,label,n,paediatric_n,paediatric_rho,urology2_n,urology2_rho,combined_rho,ci_low,ci_high,p,q
5,0.38461538461538464,relative_voltage_excursion,Relative voltage excursion,83,28,-0.07365739502772044,55,0.05377166856301924,0.01238963106723442,-0.2078971212615,0.23148028400164256,0.9134212985480177,0.9134212985480177
5,0.38461538461538464,mean_aperture_change_rate,Mean aperture change rate,83,28,0.2245451184240582,55,0.0313728375801734,0.0950737913667987,-0.12730640225429254,0.30835319125411087,0.40270695679417756,0.5637897395118486
5,0.38461538461538464,p95_aperture_change_rate,95th-percentile aperture change rate,83,28,0.1923887183559862,55,0.14170245901264023,0.1582542773559286,-0.06368081897231749,0.36527386571000464,0.16137983767308794,0.5198010818235788
5,0.38461538461538464,aperture_cycles_per_movement,Aperture cycles per movement episode,83,28,0.11983068743315715,55,0.09694098255742162,0.10438515397164345,-0.11804303503522795,0.316839065514591,0.3579256919226167,0.5637897395118486
5,0.38461538461538464,aperture_cycles_per_second,Aperture cycles per second,83,28,0.11543323101359174,55,0.01950399014499823,0.05077562230504874,-0.1708512755759558,0.2675119383169523,0.6556421947108682,0.7649158938293462
5,0.38461538461538464,bilateral_cycle_balance,Bilateral cycle balance,83,28,-0.012232099577232316,55,0.3565977496834722,0.24295552432170106,0.024544992106755443,0.4392292241432782,0.029598305225850684,0.20718813658095478
5,0.38461538461538464,bilateral_aperture_rate_correlation,Left-right aperture-rate correlation,83,28,-0.17012659523193638,55,-0.12252413846189983,-0.1380524626758926,-0.34724042207112304,0.08422307815234821,0.22277189221010518,0.5198010818235788
7,0.5384615384615384,relative_voltage_excursion,Relative voltage excursion,83,28,-0.05441852319212182,55,0.06535103191440965,0.026504120904260846,-0.1943484710996299,0.24479933272527624,0.8160509054124471,0.8160509054124471
7,0.5384615384615384,mean_aperture_change_rate,Mean aperture change rate,83,28,0.22344575431916686,55,0.11847136128891318,0.1529662393033509,-0.06907620498779644,0.3605683869323333,0.1760901612083564,0.30815778211462375
7,0.5384615384615384,p95_aperture_change_rate,95th-percentile aperture change rate,83,28,0.19761069785422017,55,0.14427163025622994,0.16169754732880123,-0.06016066198953503,0.3683321298319256,0.15230012418460445,0.30815778211462375
7,0.5384615384615384,aperture_cycles_per_movement,Aperture cycles per movement episode,83,28,0.1833189644906326,55,0.09292439089490807,0.12251676392834648,-0.09989310917155605,0.33326621260332984,0.279915881975746,0.3918822347660444
7,0.5384615384615384,aperture_cycles_per_second,Aperture cycles per second,83,28,0.25642667746590736,55,0.024208106506500585,0.10116010523130965,-0.12125584840226904,0.3139037748440827,0.3730777807917305,0.4352574109236856
7,0.5384615384615384,bilateral_cycle_balance,Bilateral cycle balance,83,28,-0.09262142583709622,55,0.3064214091903951,0.1816065289530603,-0.039698345892281106,0.385927759281359,0.10707835332265414,0.30815778211462375
7,0.5384615384615384,bilateral_aperture_rate_correlation,Left-right aperture-rate correlation,83,28,-0.1899151491199807,55,-0.13815627898627686,-0.15505846439778306,-0.36243138524874746,0.06694305923726336,0.17015772508875804,0.30815778211462375
11,0.8461538461538461,relative_voltage_excursion,Relative voltage excursion,83,28,-0.06266375397880694,55,0.05872908349783326,0.019332415445110624,-0.2012432145441619,0.23804207843284306,0.8652756490216071,0.8652756490216073
11,0.8461538461538461,mean_aperture_change_rate,Mean aperture change rate,83,28,0.2641222262001468,55,0.18147033502257165,0.20865030182153876,-0.011602410899901947,0.4095933731219098,0.06314279156928301,0.1861039733635871
11,0.8461538461538461,p95_aperture_change_rate,95th-percentile aperture change rate,83,28,0.21877345687337862,55,0.13804772245485758,0.16451459189230716,-0.057276603814403075,0.37083086775324015,0.14515802645477696,0.20322123703668776
11,0.8461538461538461,aperture_cycles_per_movement,Aperture cycles per movement episode,83,28,0.2888579185602022,55,0.15154491786132207,0.19705704705797333,-0.023689450053572026,0.39948129508158875,0.07975884572725161,0.1861039733635871
11,0.8461538461538461,aperture_cycles_per_second,Aperture cycles per second,83,28,0.26357254414770115,55,0.0687162843884075,0.13332464123289797,-0.08900344562832034,0.3429976041728964,0.23922511892021547,0.2790959720735847
11,0.8461538461538461,bilateral_cycle_balance,Bilateral cycle balance,83,28,-0.20643386028093186,55,0.345434315663437,0.17351122387743162,-0.04804109855910015,0.37879098899553965,0.1240201789543813,0.20322123703668776
11,0.8461538461538461,bilateral_aperture_rate_correlation,Left-right aperture-rate correlation,83,28,-0.19128935425109486,55,-0.20466524723582558,-0.2003305377928331,-0.4023415577226849,0.020283059693444575,0.07475046132905015,0.1861039733635871
