phase,n_trials,duration_s,tool1_speed_mm_s,tool2_speed_mm_s,combined_path_rate_mm_s
reach,34,874.1923076923075,43.64497380933804,38.63477297139324,82.27974678073127
grasp,34,693.6153846153845,42.33294602684745,39.058830625868666,81.39177665271612
transfer,31,1617.4999999999998,38.377615719404794,32.292785148904876,70.67040086830967
place,34,1728.5769230769229,42.69559837613292,37.25730176261506,79.95290013874798
nudge,32,139.65384615384613,36.003999240375705,30.559871943533597,66.5638711839093
idle,34,200.88461538461536,57.38604534269178,50.430112252669474,107.81615759536125
dropped,11,14.230769230769234,54.876743361268126,37.98917245393057,92.86591581519869
