feature,label,n,paediatric_n,paediatric_rho,urology2_n,urology2_rho,combined_rho,ci_low,ci_high,p,q
relative_voltage_excursion,Relative voltage excursion,83,28,-0.07365739502772044,55,0.05377166856301924,0.01238963106723442,-0.2078971212615,0.23148028400164256,0.9134212985480177,0.9134212985480177
mean_aperture_change_rate,Mean aperture change rate,83,28,0.2245451184240582,55,0.0313728375801734,0.0950737913667987,-0.12730640225429254,0.30835319125411087,0.40270695679417756,0.5637897395118486
p95_aperture_change_rate,95th-percentile aperture change rate,83,28,0.1923887183559862,55,0.14170245901264023,0.1582542773559286,-0.06368081897231749,0.36527386571000464,0.16137983767308794,0.5198010818235788
aperture_cycles_per_movement,Aperture cycles per movement episode,83,28,0.11983068743315715,55,0.09694098255742162,0.10438515397164345,-0.11804303503522795,0.316839065514591,0.3579256919226167,0.5637897395118486
aperture_cycles_per_second,Aperture cycles per second,83,28,0.11543323101359174,55,0.01950399014499823,0.05077562230504874,-0.1708512755759558,0.2675119383169523,0.6556421947108682,0.7649158938293462
bilateral_cycle_balance,Bilateral cycle balance,83,28,-0.012232099577232316,55,0.3565977496834722,0.24295552432170106,0.024544992106755443,0.4392292241432782,0.029598305225850684,0.20718813658095478
bilateral_aperture_rate_correlation,Left-right aperture-rate correlation,83,28,-0.17012659523193638,55,-0.12252413846189983,-0.1380524626758926,-0.34724042207112304,0.08422307815234821,0.22277189221010518,0.5198010818235788
