dataset,outcome,n,spearman_rho,ci_low,ci_high,p,q
BAPES2024,Analysed duration (s),28,0.17350848385331144,-0.27254975235417744,0.5715570720819966,0.3772439309220052,0.7544878618440104
BAPES2024,Task efficiency,28,-0.004105652152858856,-0.44270423134403203,0.4254652766412527,0.9834573635984055,0.9834573635984055
6DOF2023,Analysed duration (s),24,-0.025217391304347827,-0.4031095702836584,0.3888834650666649,0.9068896173989752,0.9834573635984055
6DOF2023,Task efficiency,24,0.09999999999999999,-0.33342807170966327,0.49057138771280817,0.6419932296067887,0.9629898444101831
7DOF2024,Analysed duration (s),55,-0.2853329004558957,-0.5062436108880163,-0.0319704958111179,0.03472109534051426,0.10416328602154279
7DOF2024,Task efficiency,55,0.3233999567068332,0.08050184610713806,0.5392765631163007,0.016021720567528316,0.09613032340516989
