phase,n_segments,mean_duration_s,median_duration_s
reach,620,1.5572580645161305,1.3846153846153868
grasp,485,1.5296590007930229,1.4615384615384386
transfer,394,4.41419367434596,4.153846153846157
place,438,4.157709870038639,3.69230769230769
nudge,179,0.8594757198109167,0.6923076923076934
idle,309,0.711102813044562,0.461538461538467
dropped,22,0.6958041958041984,0.6538461538461587
