dataset,n,spearman_rho,ci_low,ci_high,p
BAPES2024,28,-0.38368910782703886,-0.7465771840836282,0.05147759017516738,0.04383971743892305
6DOF2023,24,-0.041739130434782605,-0.41095636278631287,0.3395114421575783,0.8464521133997217
7DOF2024,55,-0.47616299003038437,-0.6566871273281804,-0.24345247671185027,0.00023823151622729487
